situation,strategy
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:3.70,1.11; rot:90; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:1.03,1.11; rot:164; vel:0.66,-0.00; ang_vel:121.41",turn_left_73
"pos:1.22,1.11; rot:197; vel:0.30,-0.00; ang_vel:51.52",accelerate
"pos:1.24,1.04; rot:198; vel:1.18,-3.82; ang_vel:49.46",turn_left_62
"pos:-1.05,1.11; rot:18; vel:-0.06,-0.00; ang_vel:10.92",turn_right_15
"pos:-0.95,1.11; rot:18; vel:-0.28,-0.00; ang_vel:49.46",turn_left_15
"pos:-0.61,-0.25; rot:356; vel:0.07,4.00; ang_vel:4.27",dash
"pos:-0.05,1.26; rot:26; vel:1.11,2.24; ang_vel:99.52",turn_right_37
"pos:0.27,1.90; rot:54; vel:0.47,0.95; ang_vel:40.54",accelerate
"pos:-1.68,2.59; rot:23; vel:-0.28,0.68; ang_vel:82.22",turn_right_15
"pos:-1.68,2.59; rot:24; vel:-0.28,0.68; ang_vel:82.22",turn_left_15
"pos:-1.35,3.03; rot:83; vel:-0.36,0.32; ang_vel:11.28",accelerate
"pos:-2.99,3.11; rot:111; vel:-0.57,0.18; ang_vel:53.82",turn_left_15
"pos:-1.96,3.11; rot:84; vel:-3.98,0.42; ang_vel:8.14",dash
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:3.70,1.11; rot:90; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:-3.30,1.11; rot:268; vel:0.00,0.00; ang_vel:0.00",turn_right_15
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",turn_left_15
"pos:0.46,1.34; rot:155; vel:-0.09,0.25; ang_vel:66.35",turn_left_26
"pos:0.44,1.38; rot:166; vel:-0.06,0.16; ang_vel:44.11",accelerate
"pos:0.30,0.63; rot:173; vel:-0.52,-3.97; ang_vel:29.33",turn_left_46
"pos:-0.91,0.32; rot:329; vel:-0.20,-0.20; ang_vel:39.77",turn_right_15
"pos:-0.90,0.33; rot:351; vel:-0.23,-0.23; ang_vel:44.95",turn_left_15
"pos:-1.75,0.50; rot:299; vel:0.51,1.32; ang_vel:-48.22",turn_left_30
"pos:-1.63,0.83; rot:286; vel:0.22,0.56; ang_vel:-21.31",turn_left_22
"pos:-1.62,0.85; rot:285; vel:0.20,0.52; ang_vel:-19.64",accelerate
"pos:0.08,0.66; rot:273; vel:0.51,0.20; ang_vel:34.41",turn_left_15
"pos:-0.50,1.19; rot:274; vel:1.68,0.84; ang_vel:-46.10",turn_left_32
"pos:-0.05,1.42; rot:261; vel:0.71,0.36; ang_vel:-19.56",turn_left_27
"pos:0.05,1.47; rot:258; vel:0.52,0.26; ang_vel:-13.55",accelerate
"pos:0.87,1.27; rot:256; vel:3.87,-0.99; ang_vel:-8.65",turn_left_41
"pos:1.39,0.45; rot:297; vel:0.58,-0.11; ang_vel:35.77",turn_right_15
"pos:1.39,0.45; rot:300; vel:0.58,-0.11; ang_vel:35.77",turn_left_15
"pos:1.61,1.27; rot:235; vel:1.20,0.00; ang_vel:-34.30",turn_left_37
"pos:1.91,1.27; rot:226; vel:0.60,0.00; ang_vel:-16.45",accelerate
"pos:2.07,1.11; rot:225; vel:2.85,-2.81; ang_vel:-14.55",turn_left_34
"pos:2.32,-0.38; rot:342; vel:0.41,-0.39; ang_vel:32.44",turn_right_15
"pos:2.32,-0.38; rot:348; vel:0.41,-0.39; ang_vel:32.44",turn_left_15
"pos:2.92,0.24; rot:200; vel:1.42,-1.20; ang_vel:-58.45",turn_left_44
"pos:3.34,-0.11; rot:183; vel:0.58,-0.49; ang_vel:-22.86",turn_left_37
"pos:3.38,-0.15; rot:181; vel:0.47,-0.40; ang_vel:-18.64",accelerate
"pos:2.44,-1.59; rot:7; vel:0.03,-0.54; ang_vel:31.17",turn_right_15
"pos:2.44,-1.59; rot:11; vel:0.03,-0.54; ang_vel:31.17",turn_left_15
"pos:3.51,-2.23; rot:160; vel:0.24,-1.49; ang_vel:-25.33",turn_left_76
"pos:3.57,-2.57; rot:154; vel:0.12,-0.77; ang_vel:-12.65",accelerate
"pos:-3.30,1.11; rot:268; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:3.57,-2.57; rot:154; vel:0.12,-0.77; ang_vel:-12.65",accelerate
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",turn_right_15
"pos:-3.30,1.11; rot:272; vel:0.00,0.00; ang_vel:0.00",turn_left_15
"pos:-0.81,1.06; rot:99; vel:-1.76,-0.39; ang_vel:74.91",turn_left_67
"pos:-1.50,0.97; rot:354; vel:0.59,-0.05; ang_vel:0.00",dash
"pos:-1.31,0.95; rot:121; vel:-0.75,-0.16; ang_vel:30.51",turn_left_111
"pos:-1.66,3.40; rot:126; vel:0.75,-5.21; ang_vel:1.67",accelerate
"pos:-1.79,4.33; rot:188; vel:-0.04,0.35; ang_vel:2.31",dash
"pos:-1.73,3.87; rot:343; vel:-0.16,1.28; ang_vel:8.89",turn_right_15
"pos:-1.73,3.87; rot:344; vel:-0.16,1.28; ang_vel:8.89",turn_left_15
"pos:-1.45,0.92; rot:127; vel:-0.44,-0.10; ang_vel:17.95",accelerate
"pos:-1.88,0.59; rot:129; vel:-3.12,-2.51; ang_vel:13.49",turn_left_20
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:-1.45,0.92; rot:127; vel:-0.44,-0.10; ang_vel:17.95",accelerate
"pos:-1.88,0.59; rot:129; vel:-3.12,-2.51; ang_vel:13.49",turn_left_36
"pos:-0.70,1.11; rot:326; vel:-0.16,-0.00; ang_vel:24.22",turn_right_15
"pos:0.88,1.11; rot:140; vel:0.15,-0.00; ang_vel:29.71",accelerate
"pos:0.59,0.75; rot:143; vel:-2.44,-3.17; ang_vel:23.25",turn_left_51
"pos:-1.73,3.87; rot:344; vel:-0.16,1.28; ang_vel:8.89",turn_left_15
"pos:-1.27,1.68; rot:267; vel:1.11,0.80; ang_vel:-43.97",turn_left_26
"pos:-2.93,2.12; rot:272; vel:3.99,0.26; ang_vel:1.07",turn_right_131
"pos:-0.97,1.89; rot:255; vel:0.43,0.31; ang_vel:-17.20",accelerate
"pos:0.44,0.95; rot:157; vel:0.56,-0.08; ang_vel:34.55",turn_left_15
"pos:0.10,1.63; rot:246; vel:1.79,-0.15; ang_vel:-36.74",turn_left_27
"pos:0.56,1.59; rot:236; vel:0.79,-0.06; ang_vel:-16.24",turn_left_24
"pos:0.68,1.58; rot:233; vel:0.52,-0.04; ang_vel:-10.80",accelerate
"pos:1.28,1.11; rot:231; vel:3.13,-2.50; ang_vel:-7.18",turn_left_34
"pos:1.54,0.17; rot:187; vel:0.49,-0.37; ang_vel:37.79",turn_right_15
"pos:1.54,0.17; rot:187; vel:0.49,-0.37; ang_vel:37.79",turn_left_15
"pos:1.94,0.81; rot:214; vel:1.03,-0.47; ang_vel:-26.97",turn_left_33
"pos:2.18,0.70; rot:208; vel:0.52,-0.23; ang_vel:-13.47",accelerate
"pos:2.28,0.49; rot:207; vel:1.84,-3.55; ang_vel:-11.92",turn_left_31
"pos:2.15,-0.97; rot:256; vel:0.27,-0.52; ang_vel:35.88",turn_right_15
"pos:2.15,-0.97; rot:258; vel:0.27,-0.52; ang_vel:35.88",turn_left_15
"pos:2.82,-0.48; rot:188; vel:0.94,-1.30; ang_vel:-44.96",turn_left_41
"pos:3.08,-0.84; rot:175; vel:0.42,-0.57; ang_vel:-19.08",turn_left_36
"pos:2.02,-2.17; rot:306; vel:-0.08,-0.54; ang_vel:34.04",accelerate
"pos:3.11,-0.89; rot:174; vel:0.34,-0.47; ang_vel:-15.55",accelerate
"pos:2.02,-2.17; rot:306; vel:-0.08,-0.54; ang_vel:34.04",turn_right_15
"pos:2.02,-2.17; rot:306; vel:-0.08,-0.54; ang_vel:34.04",turn_left_15
"pos:3.32,-1.63; rot:171; vel:1.74,-1.01; ang_vel:0.07",turn_left_56
"pos:3.77,-1.89; rot:171; vel:0.74,-0.43; ang_vel:0.03",turn_left_69
"pos:2.19,-2.24; rot:319; vel:-0.02,-0.10; ang_vel:10.70",turn_left_15
"pos:3.89,-1.96; rot:171; vel:0.51,-0.30; ang_vel:0.02",accelerate
"pos:3.89,-1.96; rot:171; vel:0.51,-0.30; ang_vel:0.02",accelerate
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:0.76,1.11; rot:114; vel:1.22,-0.00; ang_vel:223.96",turn_left_24
"pos:1.10,1.11; rot:176; vel:0.54,-0.00; ang_vel:95.03",turn_left_84
"pos:-1.05,1.11; rot:265; vel:-0.07,-0.00; ang_vel:12.86",accelerate
"pos:1.22,1.11; rot:197; vel:0.29,-0.00; ang_vel:51.52",accelerate
"pos:1.34,0.75; rot:202; vel:1.42,-3.74; ang_vel:42.00",turn_left_59
"pos:-0.95,1.11; rot:14; vel:-0.28,-0.00; ang_vel:49.46",turn_right_15
"pos:2.19,-2.24; rot:319; vel:-0.02,-0.10; ang_vel:10.70",turn_left_15
"pos:-0.49,-1.10; rot:31; vel:-0.70,-0.24; ang_vel:62.61",turn_left_31
"pos:-0.67,-1.16; rot:48; vel:-0.30,-0.10; ang_vel:27.68",turn_left_52
"pos:-0.70,-1.17; rot:51; vel:-0.24,-0.08; ang_vel:20.80",accelerate
"pos:-1.56,-0.53; rot:55; vel:-3.29,2.28; ang_vel:11.74",turn_left_72
"pos:-0.58,0.41; rot:196; vel:-0.11,0.22; ang_vel:23.94",turn_right_15
"pos:-0.58,0.41; rot:196; vel:-0.11,0.22; ang_vel:23.94",turn_left_15
"pos:-0.38,0.83; rot:188; vel:0.25,-0.39; ang_vel:-7.72",accelerate
"pos:-0.34,-0.80; rot:137; vel:0.14,-0.61; ang_vel:42.82",turn_right_15
"pos:-0.34,-0.80; rot:138; vel:0.14,-0.61; ang_vel:42.82",turn_left_15
"pos:-0.33,0.46; rot:188; vel:0.54,-3.96; ang_vel:-6.29",dash
"pos:0.01,-1.14; rot:174; vel:0.18,-0.77; ang_vel:-7.36",accelerate
"pos:-0.27,-2.83; rot:215; vel:0.02,-0.80; ang_vel:38.68",turn_right_15
"pos:-0.28,-2.78; rot:225; vel:0.02,-0.87; ang_vel:43.72",turn_left_15
"pos:-3.30,1.11; rot:268; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:3.70,1.11; rot:90; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",turn_left_15
"pos:-1.55,0.70; rot:278; vel:0.59,-0.15; ang_vel:0.00",dash
"pos:0.26,1.75; rot:192; vel:0.45,0.45; ang_vel:73.43",turn_left_54
"pos:-0.85,0.48; rot:348; vel:0.24,-0.15; ang_vel:45.09",accelerate
"pos:-0.73,1.09; rot:352; vel:0.56,3.08; ang_vel:31.23",dash
"pos:-0.35,3.92; rot:333; vel:0.14,1.06; ang_vel:4.78",accelerate
"pos:-0.85,0.48; rot:348; vel:0.24,-0.15; ang_vel:45.09",turn_left_15
"pos:0.78,0.92; rot:213; vel:2.11,-3.40; ang_vel:31.16",turn_left_46
"pos:0.73,6.14; rot:130; vel:0.18,0.37; ang_vel:0.31",accelerate
"pos:0.32,1.81; rot:202; vel:0.33,0.34; ang_vel:52.97",accelerate
"pos:0.01,0.47; rot:300; vel:3.36,2.18; ang_vel:2.58",turn_right_56
"pos:-0.85,0.48; rot:348; vel:0.24,-0.15; ang_vel:45.09",turn_right_15
"pos:0.22,5.27; rot:173; vel:-0.89,-3.58; ang_vel:0.17",turn_left_15
"pos:0.01,3.62; rot:85; vel:-1.85,-0.35; ang_vel:1.17",turn_left_26
"pos:1.40,3.69; rot:80; vel:-3.91,0.85; ang_vel:0.09",dash
"pos:-0.47,3.53; rot:85; vel:-0.82,-0.15; ang_vel:0.52",turn_left_29
"pos:-0.50,3.53; rot:85; vel:-0.79,-0.15; ang_vel:0.48",accelerate
"pos:-1.88,4.43; rot:245; vel:-0.84,0.11; ang_vel:35.13",turn_right_15
"pos:-1.88,4.43; rot:246; vel:-0.84,0.11; ang_vel:35.13",turn_left_15
"pos:-1.74,3.56; rot:81; vel:-2.36,-0.39; ang_vel:-42.21",turn_left_57
"pos:-2.40,3.45; rot:69; vel:-1.04,-0.17; ang_vel:-17.91",turn_left_59
"pos:-2.81,5.15; rot:313; vel:-0.39,0.34; ang_vel:33.04",turn_right_15
"pos:-2.81,5.15; rot:313; vel:-0.39,0.34; ang_vel:33.04",turn_left_15
"pos:-2.57,3.42; rot:66; vel:-0.69,-0.11; ang_vel:-11.43",accelerate
"pos:-3.26,3.75; rot:64; vel:-3.60,1.75; ang_vel:-7.60",turn_left_77
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:-2.57,3.42; rot:66; vel:-0.69,-0.11; ang_vel:-11.43",accelerate
"pos:-3.26,3.75; rot:64; vel:-3.60,1.75; ang_vel:-7.60",turn_left_42
"pos:-0.74,1.11; rot:134; vel:-0.02,-0.00; ang_vel:3.41",accelerate
"pos:0.89,1.11; rot:140; vel:0.15,-0.00; ang_vel:29.71",accelerate
"pos:0.43,0.50; rot:145; vel:-2.31,-3.26; ang_vel:19.75",turn_left_86
"pos:-2.81,5.15; rot:313; vel:-0.39,0.34; ang_vel:33.04",turn_right_15
"pos:-2.81,5.15; rot:313; vel:-0.39,0.34; ang_vel:33.04",turn_left_15
"pos:-2.54,0.95; rot:324; vel:-1.30,1.68; ang_vel:-24.10",turn_left_65
"pos:-2.89,1.40; rot:317; vel:-0.58,0.74; ang_vel:-10.65",turn_left_72
"pos:-1.24,0.59; rot:19; vel:0.01,-0.02; ang_vel:-1.38",accelerate
"pos:-1.25,0.61; rot:98; vel:0.03,-0.06; ang_vel:-3.98",turn_right_15
"pos:-2.97,1.51; rot:316; vel:-0.42,0.53; ang_vel:-7.38",accelerate
"pos:-2.32,2.16; rot:314; vel:2.86,2.80; ang_vel:-4.52",turn_left_44
"pos:-0.64,2.53; rot:192; vel:0.55,1.09; ang_vel:-0.27",turn_right_15
"pos:-1.25,0.61; rot:100; vel:0.03,-0.06; ang_vel:-3.98",turn_left_15
"pos:-1.17,2.96; rot:313; vel:0.44,1.24; ang_vel:-22.94",turn_left_27
"pos:-1.05,3.29; rot:306; vel:0.19,0.53; ang_vel:-9.73",turn_left_26
"pos:-1.04,3.30; rot:306; vel:0.18,0.51; ang_vel:-9.34",accelerate
"pos:0.60,3.62; rot:228; vel:0.50,0.34; ang_vel:33.64",turn_left_15
"pos:-0.10,4.06; rot:295; vel:1.35,1.55; ang_vel:-55.30",turn_left_43
"pos:0.24,4.46; rot:280; vel:0.60,0.68; ang_vel:-24.44",turn_left_37
"pos:0.34,4.57; rot:276; vel:0.40,0.45; ang_vel:-16.25",accelerate
"pos:1.10,4.63; rot:273; vel:3.99,0.24; ang_vel:-10.80",turn_left_50
"pos:1.83,3.76; rot:265; vel:0.56,0.05; ang_vel:33.01",turn_left_15
"pos:2.16,4.81; rot:256; vel:1.62,0.37; ang_vel:-29.01",turn_left_70
"pos:2.59,4.91; rot:248; vel:0.69,0.16; ang_vel:-12.31",accelerate
"pos:2.58,3.08; rot:300; vel:0.29,-0.31; ang_vel:34.58",turn_right_15
"pos:2.58,3.08; rot:301; vel:0.29,-0.31; ang_vel:34.58",turn_left_15
"pos:2.59,4.91; rot:248; vel:0.69,0.16; ang_vel:-12.31",turn_left_77
"pos:1.85,1.90; rot:66; vel:-1.34,-0.12; ang_vel:-20.04",turn_left_87
"pos:1.59,1.87; rot:63; vel:-0.82,-0.08; ang_vel:-11.79",accelerate
"pos:1.12,2.12; rot:61; vel:-3.51,1.92; ang_vel:-8.86",turn_left_52
"pos:2.43,3.74; rot:231; vel:-0.12,0.37; ang_vel:37.90",turn_right_15
"pos:2.43,3.74; rot:232; vel:-0.12,0.37; ang_vel:37.90",turn_left_15
"pos:2.37,4.33; rot:225; vel:0.44,-0.15; ang_vel:-7.91",accelerate
"pos:3.37,3.05; rot:347; vel:0.46,-0.40; ang_vel:44.64",turn_right_15
"pos:3.37,3.05; rot:347; vel:0.46,-0.40; ang_vel:44.64",turn_left_15
"pos:3.93,2.98; rot:208; vel:0.66,-0.54; ang_vel:-9.74",accelerate
"pos:4.61,1.45; rot:80; vel:0.58,-0.75; ang_vel:42.67",accelerate
"pos:4.61,1.45; rot:80; vel:0.58,-0.75; ang_vel:42.67",turn_right_15
"pos:4.61,1.45; rot:81; vel:0.58,-0.75; ang_vel:42.67",turn_left_15
"pos:4.51,1.64; rot:177; vel:0.15,-0.42; ang_vel:-15.85",accelerate
"pos:4.12,-0.24; rot:100; vel:-0.22,-0.78; ang_vel:10.37",turn_left_15
"pos:4.46,0.95; rot:175; vel:-0.57,-7.18; ang_vel:-12.93",dash
"pos:1.91,4.49; rot:234; vel:1.49,-0.51; ang_vel:-26.92",boost
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:3.70,1.11; rot:90; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",turn_right_15
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",turn_left_15
"pos:0.73,1.11; rot:118; vel:0.33,0.00; ang_vel:74.38",turn_left_26
"pos:0.81,1.11; rot:137; vel:0.15,0.00; ang_vel:32.88",turn_left_46
"pos:-0.82,1.11; rot:144; vel:-0.02,-0.00; ang_vel:3.48",accelerate
"pos:0.82,1.11; rot:139; vel:0.13,0.00; ang_vel:29.09",accelerate
"pos:0.04,0.07; rot:146; vel:-2.22,-3.33; ang_vel:14.53",turn_left_72
"pos:-0.75,1.11; rot:326; vel:-0.17,-0.00; ang_vel:25.74",turn_right_15
"pos:-0.75,1.11; rot:328; vel:-0.17,-0.00; ang_vel:25.74",turn_left_15
"pos:-2.72,0.65; rot:316; vel:-0.97,1.13; ang_vel:-15.92",turn_left_58
"pos:-2.99,0.96; rot:312; vel:-0.41,0.48; ang_vel:-6.75",turn_left_64
"pos:-1.24,0.23; rot:111; vel:0.09,-0.11; ang_vel:-3.49",turn_right_15
"pos:-3.02,1.00; rot:311; vel:-0.36,0.42; ang_vel:-5.74",accelerate
"pos:-2.03,1.84; rot:310; vel:3.06,2.58; ang_vel:-2.87",turn_left_58
"pos:-1.24,0.23; rot:114; vel:0.09,-0.11; ang_vel:-3.49",turn_left_15
"pos:-0.94,0.18; rot:103; vel:-0.41,-0.16; ang_vel:-1.73",accelerate
"pos:-2.50,-0.21; rot:204; vel:-0.61,-0.18; ang_vel:49.79",turn_right_15
"pos:-2.50,-0.21; rot:205; vel:-0.61,-0.18; ang_vel:49.79",turn_left_15
"pos:-1.38,0.08; rot:103; vel:-3.89,-0.92; ang_vel:-1.35",dash
"pos:-4.50,-0.75; rot:316; vel:-0.91,-0.25; ang_vel:50.10",accelerate
"pos:-2.90,-0.24; rot:108; vel:-0.79,-0.16; ang_vel:2.81",accelerate
"pos:-4.50,-0.75; rot:313; vel:-0.91,-0.25; ang_vel:50.10",turn_right_15
"pos:-4.50,-0.75; rot:317; vel:-0.91,-0.25; ang_vel:50.10",turn_left_15
"pos:-3.22,-0.31; rot:143; vel:0.66,0.28; ang_vel:97.14",turn_left_47
"pos:1.91,4.49; rot:234; vel:1.49,-0.51; ang_vel:-26.92",boost
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:3.70,1.11; rot:90; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",turn_left_15
"pos:0.72,1.39; rot:180; vel:0.08,0.18; ang_vel:55.51",turn_left_48
"pos:-0.57,0.24; rot:355; vel:-0.11,-0.28; ang_vel:44.46",turn_right_15
"pos:0.72,1.40; rot:181; vel:0.08,0.17; ang_vel:53.29",accelerate
"pos:0.92,0.04; rot:194; vel:1.00,-3.87; ang_vel:25.56",turn_left_60
"pos:-0.57,0.24; rot:356; vel:-0.11,-0.28; ang_vel:44.46",turn_left_15
"pos:-0.86,-0.88; rot:334; vel:1.34,3.77; ang_vel:2.03",dash
"pos:-0.06,0.27; rot:357; vel:0.46,0.66; ang_vel:13.79",accelerate
"pos:-0.11,1.95; rot:285; vel:0.24,0.86; ang_vel:63.04",turn_right_15
"pos:-0.11,1.95; rot:285; vel:0.24,0.86; ang_vel:63.04",turn_left_15
"pos:0.05,1.81; rot:12; vel:0.05,0.45; ang_vel:7.40",accelerate
"pos:-0.10,3.43; rot:37; vel:-0.01,0.62; ang_vel:47.18",turn_right_15
"pos:-0.10,3.43; rot:37; vel:-0.01,0.62; ang_vel:47.18",turn_left_15
"pos:-0.35,3.25; rot:9; vel:-0.15,0.45; ang_vel:-2.11",accelerate
"pos:-0.20,4.87; rot:112; vel:-0.04,0.62; ang_vel:42.28",turn_right_15
"pos:-0.20,4.87; rot:113; vel:-0.04,0.62; ang_vel:42.28",turn_left_15
"pos:-0.49,4.07; rot:6; vel:-0.68,1.93; ang_vel:-30.28",turn_left_23
"pos:-0.68,4.60; rot:358; vel:-0.30,0.85; ang_vel:-12.85",turn_left_23
"pos:-0.02,6.25; rot:204; vel:0.09,0.62; ang_vel:38.43",accelerate
"pos:-0.74,4.77; rot:355; vel:-0.18,0.50; ang_vel:-7.25",accelerate
"pos:-0.70,5.23; rot:355; vel:0.37,3.98; ang_vel:-5.68",turn_left_26
"pos:-0.02,6.25; rot:204; vel:0.09,0.62; ang_vel:38.43",turn_right_15
"pos:-0.02,6.25; rot:205; vel:0.09,0.62; ang_vel:38.43",turn_left_15
"pos:-0.96,5.87; rot:342; vel:-0.54,0.86; ang_vel:-15.70",turn_left_76
"pos:-1.10,6.08; rot:338; vel:-0.25,0.40; ang_vel:-7.23",accelerate
"pos:-1.04,6.22; rot:338; vel:1.50,3.71; ang_vel:-6.66",turn_left_82
"pos:1.91,4.49; rot:234; vel:1.49,-0.51; ang_vel:-26.92",boost
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",turn_right_15
"pos:-0.28,2.68; rot:329; vel:1.84,2.07; ang_vel:0.00",dash
"pos:1.20,5.19; rot:209; vel:0.48,0.82; ang_vel:0.00",dash
"pos:-1.04,6.22; rot:338; vel:1.50,3.71; ang_vel:-6.66",turn_left_75
"pos:-1.10,6.08; rot:338; vel:-0.25,0.40; ang_vel:-7.23",accelerate
"pos:-3.30,1.11; rot:272; vel:0.00,0.00; ang_vel:0.00",turn_left_15
"pos:-0.17,3.90; rot:263; vel:3.99,-0.28; ang_vel:0.00",dash
"pos:4.14,1.92; rot:173; vel:0.84,-0.56; ang_vel:28.97",dash
"pos:4.14,1.92; rot:173; vel:0.84,-0.56; ang_vel:28.97",turn_right_15
"pos:3.89,-0.11; rot:257; vel:-0.36,-2.83; ang_vel:11.33",turn_left_15
"pos:2.79,2.93; rot:251; vel:0.81,-0.33; ang_vel:1.00",accelerate
"pos:3.73,2.61; rot:251; vel:3.78,-1.31; ang_vel:0.59",turn_left_76
"pos:1.91,4.49; rot:234; vel:1.49,-0.51; ang_vel:-26.92",boost
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:2.79,2.93; rot:251; vel:0.81,-0.33; ang_vel:1.00",accelerate
"pos:3.89,-0.11; rot:257; vel:-0.36,-2.83; ang_vel:11.33",turn_left_15
"pos:3.73,2.61; rot:251; vel:3.78,-1.31; ang_vel:0.59",turn_left_28
"pos:0.85,1.11; rot:138; vel:0.14,-0.00; ang_vel:31.56",turn_left_48
"pos:4.14,1.92; rot:173; vel:0.84,-0.56; ang_vel:28.97",turn_right_15
"pos:0.85,1.11; rot:140; vel:0.13,-0.00; ang_vel:27.92",accelerate
"pos:0.03,0.00; rot:147; vel:-2.21,-3.34; ang_vel:13.39",turn_left_71
"pos:-0.72,1.11; rot:327; vel:-0.17,-0.00; ang_vel:25.74",turn_left_15
"pos:-0.98,0.91; rot:288; vel:0.43,0.09; ang_vel:3.40",accelerate
"pos:0.48,1.58; rot:36; vel:0.60,0.22; ang_vel:54.15",turn_right_15
"pos:0.48,1.58; rot:37; vel:0.60,0.22; ang_vel:54.15",turn_left_15
"pos:-0.55,1.05; rot:288; vel:3.80,1.26; ang_vel:2.66",dash
"pos:1.02,1.39; rot:308; vel:0.82,0.16; ang_vel:11.15",accelerate
"pos:2.28,2.48; rot:165; vel:0.83,0.42; ang_vel:61.47",turn_right_15
"pos:2.28,2.48; rot:165; vel:0.83,0.42; ang_vel:61.47",turn_left_15
"pos:2.27,2.33; rot:320; vel:0.38,0.27; ang_vel:6.56",accelerate
"pos:3.47,3.44; rot:239; vel:0.51,0.42; ang_vel:46.57",turn_right_15
"pos:3.47,3.44; rot:243; vel:0.51,0.42; ang_vel:46.57",turn_left_15
"pos:1.91,4.49; rot:234; vel:1.49,-0.51; ang_vel:-26.92",boost
"pos:-3.30,1.11; rot:269; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:3.70,1.11; rot:90; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",turn_left_15
"pos:-1.33,0.42; rot:16; vel:0.66,-0.28; ang_vel:0.00",dash
"pos:-1.00,1.47; rot:91; vel:-0.55,0.42; ang_vel:5.24",turn_left_28
"pos:-3.05,2.79; rot:335; vel:-0.56,0.67; ang_vel:-5.76",dash
"pos:-1.82,5.45; rot:220; vel:0.38,0.82; ang_vel:-0.75",dash
"pos:-1.12,1.57; rot:93; vel:-0.29,0.22; ang_vel:2.73",accelerate
"pos:-1.35,1.56; rot:93; vel:-4.00,-0.20; ang_vel:2.41",turn_left_32
"pos:-2.70,3.55; rot:334; vel:2.21,4.77; ang_vel:-4.32",turn_left_15
"pos:-2.40,4.30; rot:254; vel:3.88,-0.98; ang_vel:0.08",dash
"pos:1.75,2.43; rot:224; vel:0.84,-0.43; ang_vel:50.15",dash
"pos:0.05,2.53; rot:273; vel:0.64,-0.66; ang_vel:22.61",accelerate
"pos:1.75,2.43; rot:224; vel:0.84,-0.43; ang_vel:50.15",turn_left_15
"pos:1.03,2.61; rot:277; vel:3.97,0.45; ang_vel:13.30",turn_left_38
"pos:4.76,0.21; rot:165; vel:0.28,-0.97; ang_vel:-17.91",turn_left_40
"pos:4.82,0.00; rot:161; vel:0.16,-0.55; ang_vel:-9.71",accelerate
"pos:4.69,-0.36; rot:160; vel:-1.36,-3.76; ang_vel:-7.92",turn_left_46
"pos:3.41,-0.92; rot:360; vel:-0.23,-0.48; ang_vel:31.05",turn_right_15
"pos:3.41,-0.92; rot:0; vel:-0.23,-0.48; ang_vel:31.05",turn_left_15
"pos:4.20,-1.61; rot:143; vel:-0.64,-2.02; ang_vel:-28.58",turn_left_77
"pos:1.91,4.49; rot:234; vel:1.49,-0.51; ang_vel:-26.92",boost
